gamename,year,month,avg,gain,peak,avg_peak_perc
Counter-Strike: Global Offensive,2021,January ,743209.66,25405.91,1124553,66.09%
Counter-Strike: Global Offensive,2020,December ,717803.75,49049.17,1164396,61.65%
Counter-Strike: Global Offensive,2020,November ,668754.58,55087.89,1037464,64.46%
Counter-Strike: Global Offensive,2020,October ,613666.69,6816.37,943876,65.02%
Counter-Strike: Global Offensive,2020,September ,606850.32,-33107.34,977769,62.06%
Counter-Strike: Global Offensive,2020,August ,639957.66,14056.85,925348,69.16%
Counter-Strike: Global Offensive,2020,July ,625900.81,-45746.65,857560,72.99%
Counter-Strike: Global Offensive,2020,June ,671647.46,-97147.79,1009467,66.53%
Counter-Strike: Global Offensive,2020,May ,768795.25,-88808.97,1193359,64.42%
Counter-Strike: Global Offensive,2020,April ,857604.22,186570.94,1305714,65.68%
Counter-Strike: Global Offensive,2020,March ,671033.29,127054.13,1145972,58.56%
Counter-Strike: Global Offensive,2020,February ,543979.15,42783.15,916996,59.32%
Counter-Strike: Global Offensive,2020,January ,501196,44494.44,817229,61.33%
Counter-Strike: Global Offensive,2019,December ,456701.56,30620.76,767060,59.54%
Counter-Strike: Global Offensive,2019,November ,426080.81,17085.5,758412,56.18%
Counter-Strike: Global Offensive,2019,October ,408995.31,-1930.29,747937,54.68%
Counter-Strike: Global Offensive,2019,September ,410925.6,-4171.7,720052,57.07%
Counter-Strike: Global Offensive,2019,August ,415097.3,21314.48,647461,64.11%
Counter-Strike: Global Offensive,2019,July ,393782.83,4406.1,578933,68.02%
Counter-Strike: Global Offensive,2019,June ,389376.72,24959.42,587724,66.25%
Counter-Strike: Global Offensive,2019,May ,364417.31,12427.39,588453,61.93%
Counter-Strike: Global Offensive,2019,April ,351989.92,-38250.24,621614,56.63%
Counter-Strike: Global Offensive,2019,March ,390240.16,18881.2,680071,57.38%
Counter-Strike: Global Offensive,2019,February ,371358.96,-30007.91,654069,56.78%
Counter-Strike: Global Offensive,2019,January ,401366.87,5857.61,684511,58.64%
Counter-Strike: Global Offensive,2018,December ,395509.26,85423.83,746548,52.98%
Counter-Strike: Global Offensive,2018,November ,310085.43,-15822.39,546031,56.79%
Counter-Strike: Global Offensive,2018,October ,325907.82,-7256.17,565968,57.58%
Counter-Strike: Global Offensive,2018,September ,333163.99,49632.68,583029,57.14%
Counter-Strike: Global Offensive,2018,August ,283531.31,10224.05,454370,62.40%
Counter-Strike: Global Offensive,2018,July ,273307.26,6445.02,426008,64.16%
Counter-Strike: Global Offensive,2018,June ,266862.24,4691.36,420261,63.50%
Counter-Strike: Global Offensive,2018,May ,262170.88,-26905.82,454481,57.69%
Counter-Strike: Global Offensive,2018,April ,289076.7,-65193.64,523262,55.25%
Counter-Strike: Global Offensive,2018,March ,354270.33,-28186.77,672502,52.68%
Counter-Strike: Global Offensive,2018,February ,382457.1,426.57,686588,55.70%
Counter-Strike: Global Offensive,2018,January ,382030.53,41153.65,715850,53.37%
Counter-Strike: Global Offensive,2017,December ,340876.88,19745.48,598405,56.96%
Counter-Strike: Global Offensive,2017,November ,321131.4,-20729.86,601881,53.35%
Counter-Strike: Global Offensive,2017,October ,341861.26,-12540.83,639968,53.42%
Counter-Strike: Global Offensive,2017,September ,354402.09,-20023.6,665371,53.26%
Counter-Strike: Global Offensive,2017,August ,374425.69,-3163.35,595781,62.85%
